Time(s),Energy(J),Radiant_exp(MJ/m2),Exp_dose(Mlx.hr),dE76,dE00,dR,L*,a*,b*,C*,h
0.0,0.0+/-0,0.0,0.0,0.0,0.0,0.0,44.0978202554,-7.60988888615,-30.8934201061,31.8168793993,256.161985779
22.975,0.16292+/-0.00018,0.2825925,0.0208125610903,1.01,0.39,0.37,44.1924241698,-8.00864046204,-29.9747943804,31.0262247172,255.041171934
45.958,0.3259+/-0.0004,0.5652834,0.0416323692094,1.5,0.59,0.5,44.3436057231,-8.09266284936,-29.4896549938,30.5799107855,254.654446568
68.948,0.4889+/-0.0006,0.8480604,0.0624585184789,2.07,0.82,0.66,44.4355269588,-8.26776557286,-28.9617088329,30.1187072447,254.06742339
91.929,0.6519+/-0.0007,1.1307267,0.0832765148408,2.32,0.95,0.71,44.6016630666,-8.23948329518,-28.7143650058,29.8731291072,253.98935902
114.909,0.8148+/-0.0009,1.4133807,0.104093605324,2.69,1.1,0.81,44.6737049001,-8.3280230049,-28.3664001398,29.5636368545,253.638415803
137.891,0.9778+/-0.0011,1.6960593,0.124912507565,2.93,1.21,0.87,44.7511106688,-8.32499432228,-28.1315397186,29.3375025762,253.514881964
160.876,1.1408+/-0.0013,1.9787748,0.145734127441,3.14,1.3,0.93,44.8264533951,-8.32987059877,-27.9280735222,29.1438507211,253.392180753
183.856,1.3037+/-0.0015,2.2614288,0.166551217924,3.42,1.42,1.0,44.8840509172,-8.38634114753,-27.6563640279,28.8999167661,253.130929025
206.841,1.4667+/-0.0017,2.5441443,0.187372837801,3.61,1.5,1.07,44.9231251092,-8.39796336821,-27.4687634489,28.7238359929,253.000153367
229.826,1.6297+/-0.0018,2.8268598,0.208194457677,3.78,1.59,1.11,44.9888586276,-8.39306317894,-27.3012126789,28.562207955,252.911286348
252.811,1.7927+/-0.0020,3.1095753,0.229016077554,4.05,1.69,1.19,45.0012913061,-8.46437342734,-27.0396894735,28.3335565071,252.618045365
275.799,1.9557+/-0.0022,3.3923277,0.249840415066,4.29,1.79,1.27,45.0276821972,-8.52790141706,-26.8051026564,28.1289642717,252.351806858
298.777,2.1186+/-0.0024,3.6749571,0.270655693792,4.41,1.86,1.28,45.1082447656,-8.48610307449,-26.6865618581,28.0033306804,252.359771966
321.76,2.2816+/-0.0026,3.957648,0.291475501911,4.55,1.92,1.32,45.1475552,-8.4855919942,-26.5572903699,27.8800097432,252.280266342
344.746,2.4446+/-0.0028,4.2403758,0.312298027666,4.74,2.0,1.38,45.1824708436,-8.52755534191,-26.3701687861,27.7147073215,252.079888786
367.733,2.6076+/-0.0029,4.5231159,0.3331214593,4.77,2.04,1.38,45.2646107265,-8.43898368674,-26.3408703756,27.6596800019,252.235786435
390.72,2.7706+/-0.0031,4.805856,0.353944890933,5.11,2.16,1.49,45.2336789818,-8.59738893927,-26.013968568,27.3978403753,251.711731462
413.705,2.9336+/-0.0033,5.0885715,0.37476651081,5.11,2.18,1.47,45.320359398,-8.5002884995,-26.0169484749,27.3703582826,251.906687672
436.686,3.0965+/-0.0035,5.3712378,0.395584507172,5.29,2.26,1.52,45.348555638,-8.53988532895,-25.8381573711,27.2128649312,251.710531088
459.671,3.260+/-0.004,5.6539533,0.416406127048,5.41,2.34,1.53,45.4326880861,-8.52242216632,-25.7335883238,27.1081029879,251.676217443
482.65,3.422+/-0.004,5.936595,0.437222311653,5.67,2.43,1.63,45.390983795,-8.64587454666,-25.4695591642,26.8970182492,251.249749437
505.637,3.585+/-0.004,6.2193351,0.458045743286,5.79,2.49,1.65,45.4533412458,-8.6275105741,-25.3594903659,26.786894003,251.211266465
528.622,3.748+/-0.004,6.5020506,0.478867363163,5.99,2.57,1.72,45.4458046521,-8.70885322941,-25.164342543,26.6287112004,250.910332052
551.602,3.911+/-0.004,6.7847046,0.499684453646,5.94,2.6,1.66,45.5842014506,-8.575011517,-25.2281035464,26.6456005949,251.227145312
574.582,4.074+/-0.005,7.0673586,0.520501544129,6.29,2.71,1.8,45.5003339092,-8.75981721883,-24.8695468469,26.3671909402,250.596172812
597.567,4.237+/-0.005,7.3500741,0.541323164006,6.28,2.75,1.75,45.6311512072,-8.67214734713,-24.8932710097,26.3605971323,250.793034959
620.555,4.400+/-0.005,7.6328265,0.562147501518,6.28,2.77,1.73,45.7081166366,-8.58674876335,-24.9041751207,26.3429343993,250.976240065
643.55,4.563+/-0.005,7.915665,0.582978180181,6.62,2.88,1.87,45.6112438497,-8.76538668599,-24.5520949526,26.0698555868,250.352837721
666.535,4.726+/-0.005,8.1983805,0.603799800057,6.58,2.89,1.84,45.6982878846,-8.66072423525,-24.5994328692,26.0794984952,250.604359072
